,Name,Year,Price,Cl,Country,Category,Region,ID
78,De Luze (5x20cl),Non-Vintage,82.6,100 cl,France,Liquor, Cognac Tradisjonell,3403908
79,Finca Valpiedra Reserva 1996,1996,66.25,75 cl,Spain,Red wine, Rioja,3370501
80,Hardy Noces d'Argent,Non-Vintage,112.86,70 cl,France,Liquor, Cognac Tradisjonell,3522301
81,"Bollinger Spécial Cuvée, Brut",Non-Vintage,579.96,600 cl,France,Sparkling wine, Champagne,3487907
82,Beinn Dubh The Black,Non-Vintage,85.83,70 cl,Scotland,Liquor, Speyside,3770501
83,Borgeot Puligny-Montrachet 1er Cru Les Champs Gains 2020,2020,73.9,75 cl,France,White wine, Burgund,3788701
84,Riveyrac Rivesaltes 1966,1966,121.57,75 cl,France,Port wine, Roussillon,3784301
85,Gordon & MacPhail Longmorn 1973,1973,1070.04,70 cl,Scotland,Liquor, Speyside,3990801
86,Nicolas Feuillatte Brut,Non-Vintage,85.64,150 cl,France,Sparkling wine, Champagne,3951305
87,Gordon & MacPhail Strathisla 1969,1969,1604.91,70 cl,Scotland,Liquor, Speyside,3991101
88,Michter's US 1 Sour Mash Whiskey,Non-Vintage,68.69,70 cl,USA,Liquor, Kentucky,3958301
89,Dupont Calvados Pays d'Auge 12 ans,Non-Vintage,68.7,70 cl,France,Liquor, Calvados,4057301
90,Kopke Colheita 1975,1975,113.21,75 cl,Portugal,Port wine, Douro e Porto,4113201
91,Periquita 2020,2020,249.99,900 cl,Portugal,Red wine, Península de Setúbal,4117907
92,Cannubi Barolo 2016,2016,126.09,150 cl,Italy,Red wine, Piemonte,4124605
93,Ragnaud-Sabourin Florilège Grande Champagne,Non-Vintage,216.52,70 cl,France,Liquor, Cognac Tradisjonell,4140101
94,Ramos Pinto Porto Tawny 30 YO,Non-Vintage,71.3,75 cl,Portugal,Port wine, Douro e Porto,4356901
95,Accordini Il Fornetto Amarone della Valpolicella Classico 2015,2015,71.74,75 cl,Italy,Red wine, Veneto,4486701
96,Jacopo Poli Brandy Arzente,Non-Vintage,143.48,150 cl,Italy,Liquor, Veneto,4551405
97,Fontanafredda Barolo Vigna La Rosa 1999,1999,99.04,75 cl,Italy,Red wine, Piemonte,4682301
98,Niepoort Vintage Port 2000,2000,113.1,75 cl,Portugal,Port wine, Douro e Porto,4613101
99,Jameson,Non-Vintage,208.61,450 cl,Ireland,Liquor, Øvrige,16207
100,Veuve Clicquot Brut,Non-Vintage,99.12,150 cl,France,Sparkling wine, Champagne,88105
101,Castell'in Villa Chianti Classico Riserva 2016,2016,260,75 cl,Italy,Red wine, Toscana,186301
102,Castell'in Villa Vin Santo 1998,1998,68.69,50 cl,Italy,White wine, Toscana,186402
103,Dom. du Pegau Chateauneuf du Pape Cuvee Laurence 2017,2017,79.99,75 cl,France,Red wine,Rhône,191501
104,Hardy Noces de Perle,Non-Vintage,600,70 cl,France,Liquor, Cognac Tradisjonell,243401
105,Mastrojanni Brunello di Montalcino Vigna Schiena d'Asino 2016,2016,128,75 cl,Italy,Red wine, Toscana,173201
106,Soerlie Extra Grande Champagne,Non-Vintage,103.48,70 cl,France,Liquor, Cognac Tradisjonell,156201
107,Soerlie Extra Grande Champagne,Non-Vintage,78.17,50 cl,France,Liquor, Cognac Tradisjonell,156202
108,Baron de L 2018,2018,72.17,75 cl,France,White wine, Loire,288001
109,Ch. Musar 2014,2014,85.21,150 cl,Lebanon,Red wine, Bekaa Valley,1005305
110,Chimay Trappist Blue Grande Réserve 2018,2018,69.48,300 cl,Belgium,Øl, Øvrige,993707
111,The Hilt Old Guard Chardonnay 2016,2016,68.61,75 cl,USA,White wine, California,926701
112,Highland Park 30 Years Old,Non-Vintage,1036.95,70 cl,Scotland,Liquor, Orkney Island,1023401
